iso3,start,end
AFG,1963,1963
ALB,1997,1997
DZA,1988,1988
DZA,1990,1991
DZA,1994,1994
AGO,1991,1999
AGO,2015,2016
AGO,2018,2018
ARG,1955,1955
ARG,1958,1958
ARG,1962,1962
ARG,1967,1967
ARG,1975,1975
ARG,1981,1982
ARG,1984,1984
ARG,1987,1987
ARG,1989,1989
ARG,2002,2002
ARG,2013,2016
ARG,2018,2018
AZE,1994,1994
AZE,2015,2016
BGD,1975,1975
BLR,1996,2000
BLR,2009,2009
BLR,2011,2011
BLR,2015,2015
BEN,1994,1994
BTN,1966,1966
BTN,1991,1991
BOL,1953,1953
BOL,1956,1956
BOL,1958,1958
BOL,1972,1973
BOL,1982,1985
BWA,1984,1985
BWA,2001,2001
BRA,1953,1953
BRA,1957,1958
BRA,1961,1961
BRA,1964,1964
BRA,1968,1968
BRA,1976,1976
BRA,1979,1983
BRA,1987,1990
BRA,1992,1993
BRA,1999,1999
BRA,2002,2002
BRA,2008,2008
BRA,2015,2015
BGR,1990,1991
BGR,1993,1994
BGR,1996,1997
BFA,1994,1994
BDI,1983,1983
BDI,1988,1988
KHM,1969,1969
KHM,1971,1972
KHM,1992,1993
CMR,1994,1994
CYM,1972,1972
CAF,1994,1994
TCD,1994,1994
CHL,1951,1951
CHL,1955,1956
CHL,1962,1963
CHL,1967,1967
CHL,1971,1975
CHL,1982,1982
CHL,1983,1983
CHL,1985,1985
COL,1957,1958
COL,1962,1963
COL,1965,1965
COL,1985,1985
COL,2015,2015
COM,1994,1994
COG,1994,1994
CRI,1981,1981
CRI,1991,1991
CIV,1994,1994
DOM,1985,1985
DOM,1987,1988
DOM,1990,1991
DOM,2003,2003
ECU,1970,1970
ECU,1982,1983
ECU,1985,1986
ECU,1988,1988
ECU,1992,1992
ECU,1998,1999
EGY,1979,1979
EGY,1989,1991
EGY,2003,2003
EGY,2016,2017
SLV,1986,1986
SLV,1990,1990
GNQ,1994,1994
ERI,1992,1993
ERI,2001,2001
SWZ,1984,1985
SWZ,2001,2001
SWZ,2008,2008
SWZ,2015,2015
ETH,1992,1993
FJI,1998,1998
FIN,1957,1957
FIN,1967,1967
GAB,1994,1994
GMB,1957,1957
GMB,1984,1984
GMB,1986,1986
GMB,2002,2003
GEO,1998,1999
GHA,1967,1967
GHA,1971,1971
GHA,1978,1978
GHA,1983,1984
GHA,1986,1987
GHA,1992,1993
GHA,1996,1996
GHA,1999,2000
GHA,2009,2009
GHA,2014,2014
GIB,2008,2008
GRC,1953,1953
GRC,1981,1981
GRC,1983,1983
GTM,1986,1986
GTM,1990,1990
GIN,1999,1999
GIN,2005,2005
GUY,1984,1984
GUY,1987,1987
GUY,1989,1989
GUY,1991,1991
HTI,1991,1992
HTI,2002,2003
HTI,2019,2019
HND,1990,1990
ISL,1960,1960
ISL,1967,1968
ISL,1974,1975
ISL,1978,1978
ISL,1980,1983
ISL,1989,1989
ISL,2008,2008
IND,1966,1966
IND,1991,1991
IDN,1978,1979
IDN,1983,1983
IDN,1986,1986
IDN,1997,1998
IDN,2000,2000
IRN,1955,1955
IRN,1957,1957
IRN,1993,1993
IRN,2013,2013
ISR,1953,1953
ISR,1962,1962
ISR,1974,1975
ISR,1977,1981
ISR,1983,1984
ITA,1981,1981
JAM,1978,1978
JAM,1983,1984
JAM,1991,1994
JOR,1988,1989
KAZ,1999,1999
KAZ,2015,2016
KEN,1981,1981
KEN,1993,1993
KOR,1951,1951
KOR,1953,1953
KOR,1955,1955
KOR,1960,1961
KOR,1964,1964
KOR,1980,1980
KOR,1997,1998
KGZ,1996,1999
LAO,1959,1959
LAO,1964,1964
LAO,1972,1972
LAO,1978,1978
LAO,1981,1981
LAO,1985,1989
LAO,1997,1999
LBN,1983,1987
LBN,1990,1990
LBN,1992,1992
LSO,1984,1985
LSO,2001,2001
LSO,2008,2008
LSO,2015,2015
LBR,1993,1993
LBR,2002,2002
LBY,1994,1994
LBY,2002,2002
MKD,1997,1997
MDG,1984,1984
MDG,1987,1987
MDG,1994,1994
MDG,2004,2004
MWI,1992,1992
MWI,1994,1994
MWI,1997,1998
MWI,2000,2000
MWI,2012,2012
MWI,2015,2016
MYS,1997,1998
MDV,1975,1975
MLI,1994,1994
MRT,1992,1993
MUS,1981,1981
MEX,1954,1954
MEX,1976,1977
MEX,1982,1982
MEX,1985,1986
MEX,1994,1995
MDA,1988,1999
MDA,2015,2015
MNG,1993,1993
MNG,1996,1997
MAR,1981,1981
MOZ,1987,1987
MOZ,1991,1993
MOZ,1995,1995
MOZ,2001,2001
MOZ,2015,2016
MMR,1975,1975
MMR,2012,2012
NAM,1984,1985
NAM,2001,2001
NAM,2008,2008
NAM,2015,2015
NPL,1967,1967
NPL,1991,1991
NCL,1958,1959
NZL,1984,1984
NZL,2008,2008
NIC,1979,1979
NIC,1985,1985
NIC,1988,1988
NIC,1990,1990
NER,1994,1994
NGA,1986,1987
NGA,1989,1989
NGA,1992,1992
NGA,1999,1999
NGA,2016,2016
PAK,1955,1955
PAK,1972,1972
PNG,1997,1998
PRY,1952,1953
PRY,1955,1956
PRY,1984,1984
PRY,1986,1987
PRY,1989,1989
PRY,2001,2001
PRY,2002,2002
PER,1967,1967
PER,1976,1978
PER,1981,1985
PER,1987,1990
PHL,1962,1962
PHL,1970,1970
PHL,1983,1984
PHL,1997,1998
POL,1978,1980
POL,1982,1982
POL,1986,1990
POL,1992,1992
PRT,1982,1983
ROU,1973,1973
ROU,1990,1993
ROU,1996,1997
ROU,1999,1999
RUS,1998,1999
RUS,2014,2015
RWA,1966,1966
RWA,1990,1991
RWA,1995,1995
WSM,1983,1983
SMR,1981,1981
STP,1987,1988
STP,1991,1991
STP,1994,1997
SEN,1994,1994
SYC,2007,2008
SLE,1964,1964
SLE,1983,1983
SLE,1985,1986
SLE,1988,1990
SLE,1995,1995
SLE,1997,1999
SLB,1997,1997
SLB,2002,2002
SOM,1982,1982
SOM,1984,1986
SOM,1988,1989
ZAF,1984,1985
ZAF,2001,2001
ZAF,2008,2008
ZAF,2015,2015
SSD,2015,2016
ESP,1983,1983
LKA,1977,1978
SDN,1981,1982
SDN,1985,1985
SDN,1987,1988
SDN,1991,1992
SDN,1994,1996
SDN,1998,1998
SDN,2012,2012
SDN,2018,2018
SUR,1994,1994
SUR,1999,1999
SUR,2016,2016
SWE,1993,1993
SYR,1954,1954
SYR,1988,1988
SYR,2011,2011
SYR,2013,2013
SYR,2015,2016
TJK,1995,1995
TJK,1997,1997
TJK,1999,1999
TJK,2015,2015
TZA,1983,1984
TZA,1986,1986
TZA,1992,1992
THA,1997,1997
TGO,1994,1994
TTO,1985,1986
TTO,1993,1993
TUR,1958,1959
TUR,1970,1970
TUR,1978,1980
TUR,1983,1984
TUR,1988,1988
TUR,1991,1991
TUR,1994,1994
TUR,1996,1997
TUR,1999,1999
TUR,2001,2001
TUR,2008,2008
TUR,2018,2018
TKM,1995,1996
UGA,1981,1981
UGA,1983,1987
UGA,1991,1991
UKR,1998,1999
UKR,2008,2009
UKR,2014,2015
URY,1957,1957
URY,1963,1963
URY,1965,1965
URY,1967,1968
URY,1972,1972
URY,1974,1975
URY,1983,1983
URY,1985,1985
URY,1987,1990
URY,2002,2002
UZB,1996,1997
UZB,2000,2000
UZB,2017,2017
VEN,1984,1984
VEN,1986,1987
VEN,1989,1989
VEN,1993,1994
VEN,1996,1996
VEN,2002,2002
VEN,2011,2011
VEN,2013,2013
VEN,2016,2016
VNM,1962,1962
VNM,1966,1966
VNM,1972,1972
VNM,1981,1981
VNM,1987,1989
YEM,1995,1995
ZMB,1983,1983
ZMB,1985,1986
ZMB,1989,1992
ZMB,1996,1996
ZMB,1998,1998
ZMB,2000,2000
ZMB,2009,2009
ZMB,2015,2015
ZWE,1983,1984
ZWE,1991,1991
ZWE,1997,1998
ZWE,2000,2000
ZWE,2003,2003
ZWE,2005,2008
